Column1	Column2
ko	53040
ina	13958
mum	11390
?e	10643
?um	10400
en	10193
nde	9549
to	8716
so	8590
leydi	8359
haa	8280
mo	8151
nder	7282
fof	6586
heen	6556
no	5973
makko	5843
kala	5164
oo	5124
noon	4901
walla	4864
kadi	4844
kono	4812
woni	4521
maa	4512
tan	4281
?o	4175
wonde	4058
laamu	4016
ngam	4001
ndee	3854
men	3608
yim?e	3604
caggal	3486
sabu	3484
hitaande	3434
hay	3335
ma??e	3301
alaa	3246
hannde	3143
ñalnde	3063
fedde	3016
ngal	2995
?e	2896
ena	2864
wonaa	2836
?ee	2831
mi	2830
?ee	2819
nii	2804
hakkunde	2762
oon	2676
la	2613
min	2600
?uum	2581
gooto	2579
hono	2550
wiyi	2543
alla	2440
yo	2396
bannge	2361
et	2348
?oon	2333
golle	2328
won	2270
muritani	2264
?i	2173
pulaar	2170
wuro	2167
gila	2165
kam	2153
ne??o	2147
wa?i	2123
tawii	2111
?uri	2097
google	2093
duu?i	2084
le	2075
les	2021
l	1980
tawi	1972
?ii	1940
ngol	1934
tawa	1891
lewru	1866
ndi	1860
ndeen	1857
ndii	1832
dow	1804
?oo	1796
farayse	1788
hol	1758
sibu	1709
ge?e	1683
sahaa	1681
aamadu	1662
des	1650
bah	1628
e?en	1612
winndannde	1603
wiyde	1550
?i?i	1512
omo	1508
afrik	1503
pinal	1501
?emngal	1465
am	1464
senegaal	1462
ne	1451
waawi	1450
ful?e	1426
renndo	1424
ma	1410
toon	1404
leñol	1381
hesere	1372
nguu	1357
ngu	1346
mbele	1328
du	1317
baaba	1313
ceerno	1310
huunde	1310
jooni	1296
koo	1265
on	1264
nokku	1260
ngoo	1244
hooreejo	1242
galle	1216
politik	1163
kanko	1155
feewi	1131
wayi	1129
foti	1127
maw?o	1126
sukaa?e	1124
wa?de	1123
laawol	1119
ja?de	1104
winndere	1096
haala	1084
?em?e	1060
pulaagu	1058
jeyaa	1055
fuuta	1051
tati	1038
kewuuji	1037
ngo	1036
ganndal	1033
nguurndam	1031
ley?eele	1029
yoo	1020
ca?eele	989
wul	989
hee	985
hoore	985
ley?e	985
tee	982
wonnoo	964
konngol	951
ngoni	943
wonande	938
miijo	934
biyetee?o	924
mammadu	912
sammba	905
rew?e	878
aduna	877
dans	853
?amtaare	852
naange	844
debbo	841
du?al	840
gorko	832
goomu	831
goonga	831
woote	825
fotde	824
ñalawma	819
?een	816
diine	807
pelle	806
wiyee	805
heew?e	803
allah	777
doole	774
?esngu	772
amerik	762
adii	759
mali	759
com	756
joom	748
darnde	744
mbaawi	737
mon	728
ndu	726
mbiyi	725
amen	721
heewi	720
see?a	710
mumen	709
yi?de	709
jogii	707
jawdi	698
kañum	696
ndiyam	695
diiwaan	692
tee?ti	692
heewde	688
une	688
maayo	687
juu?e	686
the	683
dental	677
kam?e	673
news	673
denndaangal	671
?een	667
jam	666
keew?e	664
he	662
daande	661
bal?e	658
naturel	658
un	656
meta	653
motsclés	651
newskeywords	651
jamma	642
umar	642
nuwaasoot	640
konu	633
worgo	631
le??i	629
hare	620
jallo	614
innde	607
tawnoo	606
ekn	603
hade	599
e?e	598
laabi	596
yeeso	593
saydu	591
keew?i	590
yeru	589
feere	587
ka	586
kisal	585
ngenndi	582
suudu	579
kaalis	578
ngel	577
dowla	576
mbiyen	576
sariya	576
etee	573
nokkuuji	572
aadee	569
sappo	569
holi	561
tawo	561
feewde	557
laam?o	556
nju??udi	556
gure	550
go??e	547
poti	547
ngonka	545
rewo	544
nelaa?o	540
abdul	539
miin	536
karallaagal	535
banndiraa?e	534
laana	533
njaay	532
wona	529
yeewtere	529
ene	523
jeyi	521
he?i	519
yoga	515
ndeke	512
addani	509
par	509
juul?e	508
faggudu	506
weeyo	505
capan?e	504
bookara	502
?iin	499
waawde	498
abdullaay	497
?alee?e	495
catal	494
kuulal	492
fayti	488
firti	488
deftere	486
abuu	485
daartol	485
go??o	485
muusaa	482
gardagol	481
peeje	481
gine	478
wolde	477
?	475
arti	474
hiirde	474
maw?e	470
woodi	468
koye	467
ñal?i	467
ngenndiije	464
umaar	464
na	462
kan	461
asiis	458
