Column1	Column2
aaadi	2
aaaid	4
aaali	1
aaamadu	7
aaamiin	2
aaan	5
aa??e	4
aa?de	2
aa?naade	12
aa?naaki	1
aabnde	2
aa?nde	21
aa?ngo	1
aa?no	2
aa?noo	15
aa?noraade	1
aa?norii	1
aa?nortoo	8
aa?notaako	20
aa?notonooka	1
aa?notoo	4
aabru	1
aaccere	2
aada	92
aadaa	9
aadaade	1
aadaaji	118
aadaam	1
aadagol	1
aadam	4
aadama	202
aadamaawa	2
aadamal	1
aadamawankoore	1
aadanaade	1
aadani	1
aadanii	8
aadannoo	2
aadantee?e	6
aadanteeri	1
aadanteewo	5
aada?kooji	1
aadati	2
aaday	1
aadayankeewo	2
aadayankeewol	2
aade	13
aadee	569
aadee’en	2
aadeede	1
aadee'en	2
aadeeje	4
aadeeji	3
aadeejo	7
aadeere	4
aadeeri	11
aadeewo	2
aadeeyaagu	1
aadeyaagal	1
aadeyaagu	1
aadeyankooje	4
aadeyankooji	1
aadeyankoore	2
aadi	146
aadii	6
aadiiji	6
aadiino	2
aadim	1
aadinde	1
aadiri	1
aadiyankaagal	2
aadiyanke	5
aadiyankoobe	2
aadiyankoo?e	3
aadiya?keewal	1
aadma	3
aa?o	2
aadondira	1
aadondir?e	3
aadondirnoo	2
aadondoraande	1
aadoraa	3
aadoraa?e	1
aadoraaka	3
aadoraande	15
aadoraango	1
aadoranoo	5
aadoranoonde	1
aadorii	5
aadu	1
aafa	4
aafaa	1
aafaa?e	1
aafaama	1
aafata	3
aafde	5
aaf?o	2
aafe	1
aafeede	1
aafich	1
aafii	1
aafiya	3
aafiyanke	2
aafiyankoo?e	2
aafnde	2
aafnoo?e	2
aafoo?e	1
aafortoo	1
aafoyde	1
aafretee	1
aaftaade	3
aagal	2
aagu	5
aaha	4
aahaa	1
aahiijo	1
aaid	1
aajibu	1
aajilaan	3
aajo	1
aajowoo	1
aakaaka	1
aakara	1
aaki	1
aakimoo	1
aala	1
aalaa	1
aalaahi	1
aalaaji	2
aalaali	1
aalal	2
aalali	3
aalamiin	1
aalamiina	4
aalee?e	4
aaleg	1
aali	313
aalialfakka	1
aalihammaat	1
aalihii	2
aalii	2
aaliwuuri	2
aaljanna	1
aaljannaa	1
aaltaade	2
aaludere	11
aalundere	7
aamaa	2
aamadaa	1
aamadel	1
aamadiya	1
aamadiyanke	1
aamadou	1
aamadu	1662
aamande	4
aamataa	2
